id,name,short_name,location,type,code,phone_no,box_no
1,UNMEB,UNMEB,Kampala,Board,1,234,567
2,ALICE ANUME MEMORIAL SCHOOL OF NURSING AND MIDWIFERY,ALICE ANUME,PALLISA,Training Institution,U049,756515211,0
3,ARUA SCHOOL OF COMPREHENSIVE NURSING,ARUA,ARUA,Training Institution,U001,782405989,772515507
4,BUSOGA UNIVERSITY SCHOOL OF NURSING,BUSOGA,IGANGA,Training Institution,U040,772393466,775338964
5,BUTABIKA SCHOOL OF PSYCHIATRIC NURSING,BUTABIKA,KAMPALA,Training Institution,U002,783692760,751775407
6,FLORENCE NIGHTINGALE SCHOOL OF NURSING AND MIDWIFE,FLORENCE,APAC,Training Institution,U037,772539049,782060337
7,FORTPORTAL INTERNATIONAL NURSING SCHOOL,FORTPORTAL,KABAROLE,Training Institution,U046,772933951,782386662
8,GOOD SAMARITAN INTERNATIONAL SCHOOL OF NURSING,GOOD SAMARITAN,LIRA,Training Institution,U038,782602722,772825332
9,GULU SCHOOL OF NURSING,GULU,GULU,Training Institution,U043,772587562,757770162
10,HOIMA SCHOOL OF NURSING AND MIDWIFERY,HOIMA,HOIMA,Training Institution,U044,772654080,774113398
11,IBANDA SCHOOL OF MIDWIFERY AND COMPREHENSIVE NURSI,IBANDA,IBANDA,Training Institution,U003,772885074,772639040
12,IGANGA SCHOOL OF NURSING AND MIDWIFERY,IGANGA,IGANGA,Training Institution,U041,772330494,77898778
13,INTERNATIONAL INSTITUTE OF HEALTH SCIENCES JINJA,INT. INST. OF HLTH SCI.,JINJA,Training Institution,U005,752954117,775064606
15,ISHAKA ADVENTIST SCHOOL OF NURSING,ISHAKA,BUSHENYI,Training Institution,U006,772529503,772562207
17,JINJA SCHOOL OF NURSING AND MIDWIFERY,JINJA,JINJA,Training Institution,U007,772558374,782546701
18,KABALE INSTITUITE OF HEALTH SCIENCES,KABALE INS,KABALE,Training Institution,U033,772345628,0
19,KABALE SCHOOL OF COMPREHENSIVE NURSING,KABALE SCH,KABALE,Training Institution,U008,774402429,772665219
20,KAGANDO SCHOOL OF NURSING AND MIDWIFERY,KAGANDO,KASESE,Training Institution,U009,772974587,782540065
21,KALUNGI SCHOOL OF NURSING,KALUNGI,MASAKA,Training Institution,U048,772440173,772357863
22,KAMPALA INTERNATIONAL UNIVERSITY,KIU,MBARARA,Training Institution,U011,0,0
23,KAMPALA INT.UNIVERSITY (KIU) WESTERN CAMPUS,KAMPALA INT.UNIV. (KIU),ISHAKA,Training Institution,U011,702926554,774185234
24,KAMPALA UNIVERSITY SCHOOL OF NURSING,KAMPALA UNIV. SCH.,KAMPALA,Training Institution,U012,782697910,77898778
25,KAMULI SCHOOL OF NURSING AND MIDWIFERY,KAMULI,KAMULI,Training Institution,U013,782529642,782119533
26,KIBULI MOSLEM HOSPITAL HEALTH TRAINING SCHOOL,KIBULI,KAMPALA,Training Institution,U014,701198441,782086391
27,KISIIZI SCHOOL OF NURSING AND MIDWIFERY,KISIIZI,RUKUNGIRI,Training Institution,U015,772372739,782594072
28,KIWOKO SCHOOL OF NURSING AND MIDWIFERY,KIWOKO,LUWEERO,Training Institution,U016,772972577,774228578
29,KULUVA SCHOOL OF COMPREHENSIVE NURSING,KULUVA,ARUA,Training Institution,U017,787109483,782359550
30,LIRA SCHOOL OF COMPREHENSIVE NURSING,LIRA,LIRA,Training Institution,U019,782875581,772605961
31,MASAKA SCHOOL OF COMPREHENSIVE NURSING,MASAKA,MASAKA,Training Institution,U020,782313992,0
32,MAYANJA MEMORIAL MEDICAL TRAINING INSTITUTE,MAYANJA,MBARARA,Training Institution,U034,772368321,0
33,MBALE SCHOOL OF NURSING AND MIDWIFERY,MBALE,MBALE,Training Institution,U042,772485811,712846978
34,MENGO SCHOOL OF NURSING AND MIDWIFERY,MENGO,KAMPALA,Training Institution,U022,772587613,718430939
35,MULAGO SCHOOL OF NURSING AND MIDWIFERY,MULAGO,KAMPALA,Training Institution,U023,774463085,784043590
36,MUTOLERE SCHOOL OF NURSING AND MIDWIFERY,MUTOLERE,KISOLO,Training Institution,U024,772850544,772336381
37,NGORA HOSPITAL-SCHOOL OF NURSING AND MIDWIFERY,NGORA,NGORA,Training Institution,U025,772375361,772959078
38,ST. FRANCIS'S HOSPITAL - NSAMBYA SCHOOL OF NURSING AND MIDWIFERY,ST. FRANCIS'S HOSPITAL,KAMPALA,Training Institution,U026,9879,77898778
39,PUBLIC HEALTH NURSES SCHOOL - KYAMBOGO,PUBLIC HEALTH,KAMPALA,Training Institution,U050,772886833,77898778
40,RAKAI COMMUNITY SCHOOL OF NURSING,RAKAI,RAKAI,Training Institution,U028,9879,77898778
41,LUBAGA HOSPITALS TRAINING SCHOOLS,LUBAGA,KAMPALA,Training Institution,U029,9879,77898778
42,SALEM SCHOOL OF NURSING,SALEM,KAMPALA,Training Institution,U035,9879,77898778
43,SOROTI SCHOOL OF COMPREHENSIVE NURSING,SOROTI,SOROTI,Training Institution,U030,0,0
44,ST ELIZA SCHOOL OF NURSING AND MIDWIFERY,ST ELIZA,KAMPALA,Training Institution,U039,9879,77898778
45,KAROLI LWANGA  SCHOOL OF NURSING AND MIDWIFERY-NYAKIBALE,KALORI,KAMPALA,Training Institution,U027,9879,77898778
46,ST MARY'S MIDWIFERY SCHOOL - KALONGO,ST MARY'S,AGAGO,Training Institution,U010,9879,77898778
47,ST. FRANCIS NYENGA SCHOOL OF  NURSING,NYENGA,KAMPALA,Training Institution,U036,9879,77898778
48,ST. JOHN SCHOOL OF NURSING,ST. JOHN,KAMPALA,Training Institution,U045,772466931,77898778
49,ST. KIZITO HOSPITAL - MATANY SCHOOL OF NURSING,MATANY,LIRA,Training Institution,U021,0,0
50,ST. MARY'S HOSPITAL - LACOR SCHOOL OF NURSING,ST. MARY'S HOSPITAL,GULU,Training Institution,U018,9879,77898778
51,ST. LAWRENCE VILLA MARIA SCHOOL OF NURSING AND MIDWIFERY,VILLA MARIA ,MASAKA,Training Institution,U031,772906724,77898778
52,VIRIKA SCHOOL OF NURSING AND MIDWIFERY,VIRIKA,KABAROLE,Training Institution,U032,9879,77898778
53,NTUNGAMO HEALTH TRAINING INSTITUTE,NTUNGAMO,NTUNGAMO,Training Institution,U051,9879,77898778
54,DAF SCHOOL OF NURSING AND MIDWIFERY,DAF,LIRA,Training Institution,U057,9879,77898778
55,MOUNTAINS OF THE MOON UNIVERSITY,MOUNTAINS,KABAROLE,Training Institution,U053,9879,77898778
56,BISHOP STUART UNIVERSITY,BISHOP STUART,MBARARA,Training Institution,U056,9879,77898778
57,UGANDA CHRISTIAN INSTITUTE SCHOOL OF NURSING AND M,UCI,MUKONO,Training Institution,U055,9879,77898778
58,TUMU MEDICAL TRAINING INSTITUTE,TUMU,KAMPALA,Training Institution,U052,9879,77898778
59,JERUSALEM SCHOOL OF NURSING AND MIDWIFERY,JERUSALEM,KAMPALA,Training Institution,U062,9879,77898778
60,MUKONO DIOSECE SCHOOL OF NURSING,MUKONO,MUKONO,Training Institution,U054,9879,77898778
61,LUGAZI SCHOOL OF NURSING AND MIDWIFERY,LUGAZI,JINJA,Training Institution,U058,9879,77898778
63,RUGARAMA SCHOOL OF NURSING,RUGARAMA,RUKUNGIRI,Training Institution,U063,9879,77898778
64,ISLAMIC UNIVERSITY IN UGANDA SCHOOL OF NURSING-MBA,IUIU,MBALE,Training Institution,U047,701050845,77898778
65,UGANDA NURSING SCHOOL BWINDI ,BWINDI,KANUNGU,Training Institution,U059,9879,77898778
66,KYETUME SCHOOL OF NURSING AND MIDWIFERY,KYETUME,MASAKA,Training Institution,U061,9879,77898778
67,ST.GERTRUDE NURSING SCHOOL,ST.GATRUDE,KAMPALA,Training Institution,U060,9879,77898778
68,ANNE NEHMA MEMORIAL INTERNATIONAL HEALTH SCIENCE I,ANNE NEHMA,MARAHCA,Training Institution,U064,9879,77898778
71,JOHNASS INTERNATIONAL COLLEGE OF HEALTH SCIENCES,JOHNASS,JINJA,PRIVATE,U066,754664881,675
72,LIJIF,LIJIF,Kampala,PRIVATE,U068,9,9
73,ST. FRANCIS HOSPITAL NSAMBYA TRAINING SCHOOL,Nsam,Kampala,PNFP,U026,9,9
76,ST. MARY'S MIDWIFERY SCHOOL - KALONGO,KALONG,Napak,PFNP,U010,90,78
78,Rwenzori School of Nursing and Midwifery,Rwenzori,Kasese,PFP,U067,782540065,98
79,AGULE NURSING AND MIDWIFERY SCHOOL,AGULE,PARISA,PFP,U065,234,657
82,MITYANA INSTITUTE OF NURSING AND MIDWIFERY,MITYANA,MITYANA TOWN,PRIVATE FOR PROFIT,U070,782841821,675
83,BWERA SCHOOL OF NURSING AND MIDWIFERY,BWERA,BWERA TOWN COUNCIL,PRIVATE FOR PROFIT,U073,758712029,678
84,BWEYALE SCHOOL OF NURSING AND MIDWIFERY,BWEYALE,KIRYANDONGO DISTRICT,PRIVATE FOR PROFIT,U069,772946847,8790
85,KING JAMES SCHOOL OF NURSING AND MIDWIFERY,KING JAMES,LIRA,PRIVATE FOR PROFIT,U072,772431403,890
87,St. Josephs Hosptial-Kitgum Nursing and Midwifery School,KITGUM,Kitgum,PFNPs,U071,772545058,31
88,INTRAHEALTH SCHOOL OF NURSING AND MIDWIFERY,INTRAHEALTH,KAMPALA,MIDWIFERY,IH005,773003113,112
90,BUGEMA UNIVERSITY - SCH. OF HEALTH AND NATURAL SCI.,BUGEMA,WAKISO,INSTITUTION,U074,2147483647,6529
91,ACCESS HEALTH TRAINING INSTITUTE NAKASEKE,ACCESS,NAKASEKE,PRIVATE FOR PROFIT,U075,772472453,28993
92,UGANDA MARTYRS SCHOOL OF NURSING AND MIDWIFERY KALIRO,KALIRO,KALIRO,Training Institution,U076,0,0
94,MOYO SCHOOL OF NURSING AND MIDWIFERY,MOYO,MOYO,PRIVATE FOR PROFIT,U079,773027712,0
95,MARACHA SCHOOL OF NURSING AND MIDWIFERY,MARACHA,MARACHA OVUJO,INSTITUTION,U081,774113398,0
96,MILDMAY UGANDA SCHOOL OF NURSING,MILDMAY,WAKISO-NAZIBA HILL LWEZA,INSTITUTION,U080,392080568,0
97,LUBEGA INSTITUTE OF NURSING AND MEDICAL SCIENCES,LUBEGA,"IGANGA, NAKALAMA BUSEI",INSTITUTION,U077,772460130,0
